Weather_Key,Temperature,Precipitation,Condition
2025061104,17.5,0.0,Clear
2025061105,17.0,0.0,Clear
2025061106,17.1,0.0,Clear
2025061107,18.4,0.0,Clear
2025061108,20.5,0.0,Clear
2025061109,23.1,0.0,Clear
2025061110,24.9,0.0,Clear
2025061111,26.1,0.0,Clear
2025061112,27.2,0.0,Clear
2025061113,28.7,0.0,Cloudy
2025061114,29.0,0.0,Cloudy
2025061115,28.9,0.0,Cloudy
2025061116,28.7,0.0,Cloudy
2025061117,28.4,0.0,Clear
2025061118,28.6,0.0,Cloudy
2025061119,27.6,0.0,Clear
2025061120,25.9,0.0,Clear
2025061121,25.4,0.0,Clear
2025061122,24.0,0.0,Clear
2025061123,23.5,0.0,Clear
2025061200,22.8,0.0,Clear
2025061201,21.9,0.0,Clear
2025061202,21.2,0.0,Clear
2025061203,20.7,0.0,Clear
2025061204,20.4,0.0,Clear
2025061205,20.0,0.0,Cloudy
2025061206,19.8,0.0,Clear
2025061207,20.9,0.0,Cloudy
2025061208,22.9,0.0,Cloudy
2025061209,26.5,0.0,Cloudy
2025061210,28.7,0.0,Cloudy
2025061211,30.5,0.0,Clear
2025061212,32.2,0.0,Clear
2025061213,33.3,0.0,Clear
2025061214,33.8,0.0,Clear
2025061215,33.7,0.1,Rain
2025061216,33.5,0.0,Cloudy
2025061217,32.7,0.1,Rain
2025061218,30.6,0.0,Cloudy
2025061219,30.0,0.0,Cloudy
2025061220,29.0,0.0,Cloudy
2025061221,28.8,0.1,Rain
2025061222,27.9,0.0,Cloudy
2025061223,26.7,0.0,Cloudy
2025061300,25.4,0.0,Cloudy
2025061301,24.1,0.0,Cloudy
2025061302,23.1,0.0,Cloudy
2025061303,22.2,0.0,Cloudy
2025061304,21.5,0.0,Cloudy
2025061305,20.8,0.0,Cloudy
2025061306,20.2,0.0,Cloudy
2025061307,20.5,0.0,Cloudy
2025061308,21.6,0.0,Cloudy
2025061309,23.3,0.0,Cloudy
2025061310,25.0,0.0,Cloudy
2025061311,26.7,0.0,Cloudy
2025061312,28.5,0.0,Cloudy
2025061313,29.7,0.0,Cloudy
2025061314,29.8,0.0,Cloudy
2025061315,28.6,0.0,Cloudy
2025061316,27.7,0.0,Cloudy
2025061317,26.9,0.0,Cloudy
2025061318,26.0,0.0,Cloudy
2025061319,24.6,0.0,Cloudy
2025061320,23.0,0.0,Cloudy
2025061321,21.5,0.0,Cloudy
2025061322,21.1,0.0,Cloudy
2025061323,21.2,0.0,Cloudy
2025061400,21.0,0.0,Cloudy
2025061401,20.5,0.0,Cloudy
2025061402,20.0,0.0,Cloudy
2025061403,19.5,0.0,Cloudy
2025061404,18.9,0.0,Cloudy
2025061405,18.1,0.2,Rain
2025061406,17.9,0.0,Cloudy
2025061407,17.7,0.1,Rain
2025061408,16.9,1.7,Rain
2025061409,17.1,0.1,Rain
2025061410,18.0,0.0,Cloudy
2025061411,19.0,0.1,Rain
2025061412,18.8,0.1,Rain
2025061413,19.8,0.1,Rain
2025061414,19.9,0.2,Rain
2025061415,19.3,0.7,Rain
2025061416,18.9,0.9,Rain
2025061417,18.4,0.5,Rain
2025061418,18.5,0.2,Rain
2025061419,18.2,0.2,Rain
2025061420,17.8,0.1,Rain
2025061421,16.2,0.1,Rain
2025061422,16.0,0.0,Cloudy
2025061423,15.9,0.0,Cloudy
2025061500,15.9,0.0,Cloudy
2025061501,15.8,0.0,Cloudy
2025061502,15.6,0.0,Cloudy
2025061503,15.6,0.0,Cloudy
2025061504,15.6,0.0,Cloudy
2025061505,15.4,0.0,Cloudy
2025061506,15.4,0.0,Cloudy
2025061507,15.6,0.0,Cloudy
2025061508,15.9,0.0,Cloudy
2025061509,15.2,1.2,Rain
2025061510,15.6,1.2,Rain
2025061511,16.5,0.5,Rain
2025061512,16.8,0.1,Rain
2025061513,18.1,0.0,Cloudy
2025061514,18.4,0.1,Rain
2025061515,19.1,0.1,Rain
2025061516,19.6,0.0,Cloudy
2025061517,19.6,0.0,Cloudy
2025061518,19.5,0.0,Cloudy
2025061519,18.7,0.0,Cloudy
2025061520,18.0,0.0,Cloudy
2025061521,17.2,1.3,Rain
2025061522,17.0,0.8,Rain
2025061523,16.8,0.1,Rain
2025061600,16.5,0.0,Cloudy
2025061601,16.5,0.0,Cloudy
2025061602,16.4,0.0,Cloudy
2025061603,16.1,0.0,Cloudy
2025061604,16.0,0.0,Cloudy
2025061605,15.9,0.0,Cloudy
2025061606,15.8,0.0,Cloudy
2025061607,16.4,0.0,Cloudy
2025061608,17.4,0.0,Cloudy
2025061609,17.6,0.1,Rain
2025061610,18.1,0.0,Cloudy
2025061611,18.4,0.0,Cloudy
2025061612,18.9,0.1,Rain
2025061613,19.4,0.1,Rain
2025061614,19.9,0.2,Rain
2025061615,20.0,0.2,Rain
2025061616,20.0,0.1,Rain
2025061617,19.9,0.0,Cloudy
2025061618,19.6,0.0,Cloudy
2025061619,19.4,0.0,Cloudy
2025061620,18.8,0.0,Cloudy
2025061621,18.2,0.5,Rain
2025061622,18.0,1.0,Rain
2025061623,17.9,0.7,Rain
2025061700,17.6,1.3,Rain
2025061701,17.4,0.7,Rain
2025061702,17.2,1.4,Rain
2025061703,17.2,0.0,Cloudy
2025061704,17.2,0.0,Cloudy
2025061705,17.1,0.1,Rain
2025061706,17.1,0.6,Rain
2025061707,17.5,0.2,Rain
2025061708,17.9,0.3,Rain
2025061709,18.1,0.0,Cloudy
2025061710,18.6,0.0,Cloudy
2025061711,19.6,0.0,Cloudy
2025061712,20.2,0.4,Rain
2025061713,21.2,0.2,Rain
2025061714,21.3,0.0,Cloudy
2025061715,21.1,0.0,Cloudy
2025061716,21.0,0.0,Cloudy
2025061717,20.9,0.0,Cloudy
2025061718,21.0,0.0,Cloudy
2025061719,20.4,0.0,Cloudy
2025061720,19.8,0.0,Cloudy
2025061721,19.2,0.0,Cloudy
2025061722,18.9,0.0,Cloudy
2025061723,18.6,0.0,Cloudy
2025061800,18.5,0.1,Rain
2025061801,18.2,0.0,Cloudy
2025061802,18.3,0.0,Cloudy
2025061803,18.5,0.0,Cloudy
2025061804,18.6,0.0,Cloudy
2025061805,18.6,6.4,Rain
2025061806,18.8,0.1,Rain
2025061807,19.1,0.0,Cloudy
2025061808,20.0,0.0,Cloudy
2025061809,20.6,0.1,Rain
2025061810,21.8,0.0,Cloudy
2025061811,22.5,0.3,Rain
2025061812,23.9,1.1,Rain
2025061813,26.5,0.1,Rain
2025061814,27.8,0.0,Cloudy
2025061815,28.6,0.0,Cloudy
2025061816,26.5,0.0,Cloudy
2025061817,23.6,0.0,Cloudy
2025061818,23.4,0.9,Rain
2025061819,23.1,2.1,Rain
2025061820,22.9,0.2,Rain
2025061821,22.6,0.1,Rain
2025061822,22.0,0.1,Rain
2025061823,22.0,0.0,Cloudy
2025061900,22.2,0.0,Cloudy
2025061901,22.2,0.0,Clear
2025061902,22.2,0.0,Cloudy
2025061903,22.0,0.0,Clear
2025061904,22.0,0.0,Cloudy
2025061905,22.0,0.0,Cloudy
2025061906,22.1,0.0,Clear
2025061907,23.1,0.0,Clear
2025061908,24.4,0.0,Clear
2025061909,26.5,0.0,Clear
2025061910,28.3,0.0,Clear
2025061911,29.7,0.0,Clear
2025061912,30.9,0.0,Clear
2025061913,31.4,0.0,Cloudy
2025061914,30.5,0.7,Rain
2025061915,30.6,0.0,Cloudy
2025061916,31.0,0.2,Rain
2025061917,29.1,0.8,Rain
2025061918,29.4,0.3,Rain
2025061919,26.5,2.2,Rain
2025061920,24.8,0.3,Rain
2025061921,24.0,0.1,Rain
2025061922,23.3,0.1,Rain
2025061923,22.9,0.0,Cloudy
2025062000,22.4,0.0,Cloudy
2025062001,22.1,0.0,Clear
2025062002,22.0,0.0,Clear
2025062003,21.5,0.0,Clear
2025062004,19.9,0.0,Clear
2025062005,18.9,0.0,Clear
2025062006,18.5,0.0,Clear
2025062007,19.0,0.0,Clear
2025062008,20.1,0.0,Clear
2025062009,22.8,0.0,Clear
2025062010,24.0,0.0,Clear
2025062011,25.2,0.0,Clear
2025062012,26.6,0.0,Cloudy
2025062013,26.8,0.2,Rain
2025062014,27.6,0.1,Rain
2025062015,28.2,0.0,Clear
2025062016,28.2,0.0,Clear
2025062017,28.0,0.0,Cloudy
2025062018,27.4,0.0,Cloudy
2025062019,26.5,0.0,Clear
2025062020,25.2,0.0,Cloudy
2025062021,24.9,0.0,Cloudy
2025062022,24.0,0.0,Cloudy
2025062023,23.3,0.0,Cloudy
2025062100,22.4,0.0,Clear
2025062101,21.8,0.0,Clear
2025062102,21.2,0.0,Clear
2025062103,20.8,0.0,Cloudy
2025062104,21.1,0.0,Cloudy
2025062105,20.3,0.0,Clear
2025062106,20.1,0.0,Clear
2025062107,21.6,0.0,Clear
2025062108,23.4,0.0,Cloudy
2025062109,25.7,0.0,Clear
2025062110,27.2,0.0,Clear
2025062111,28.6,0.0,Clear
2025062112,29.9,0.0,Cloudy
2025062113,31.1,0.0,Cloudy
2025062114,32.3,0.0,Cloudy
2025062115,33.2,0.0,Cloudy
2025062116,33.0,0.0,Cloudy
2025062117,32.0,0.0,Cloudy
2025062118,31.9,0.0,Cloudy
2025062119,31.3,0.0,Clear
2025062120,30.2,0.0,Cloudy
2025062121,29.2,0.0,Cloudy
2025062122,28.2,0.0,Cloudy
2025062123,27.8,0.0,Cloudy
2025062200,27.3,0.0,Cloudy
2025062201,26.8,0.0,Cloudy
2025062202,25.9,0.0,Cloudy
2025062203,25.2,0.0,Cloudy
2025062204,24.9,0.0,Cloudy
2025062205,24.4,0.0,Cloudy
2025062206,24.3,0.0,Cloudy
2025062207,25.0,0.0,Cloudy
2025062208,26.5,0.0,Cloudy
2025062209,25.9,0.0,Cloudy
2025062210,25.9,0.2,Rain
2025062211,26.7,0.1,Rain
2025062212,29.5,0.0,Cloudy
2025062213,31.5,0.0,Cloudy
2025062214,33.2,0.0,Cloudy
2025062215,33.6,0.0,Cloudy
2025062216,34.0,0.0,Cloudy
2025062217,34.0,0.0,Cloudy
2025062218,33.3,0.0,Cloudy
2025062219,33.1,0.0,Cloudy
2025062220,32.5,0.0,Cloudy
2025062221,31.0,0.0,Cloudy
2025062222,30.5,0.0,Cloudy
2025062223,29.8,0.0,Cloudy
2025062300,29.2,0.0,Cloudy
2025062301,28.8,0.0,Cloudy
2025062302,28.2,0.0,Clear
2025062303,27.5,0.0,Clear
2025062304,27.1,0.0,Cloudy
2025062305,26.7,0.0,Clear
2025062306,26.5,0.0,Clear
2025062307,27.6,0.0,Clear
2025062308,29.3,0.0,Clear
2025062309,32.7,0.0,Clear
2025062310,34.5,0.0,Clear
2025062311,36.3,0.0,Clear
2025062312,37.8,0.0,Cloudy
2025062313,39.2,0.0,Cloudy
2025062314,40.2,0.0,Cloudy
2025062315,40.2,0.0,Cloudy
2025062316,39.5,0.0,Cloudy
2025062317,38.4,0.0,Cloudy
2025062318,37.5,0.0,Cloudy
2025062319,35.4,0.0,Cloudy
2025062320,33.6,0.0,Cloudy
2025062321,30.0,0.0,Cloudy
2025062322,30.0,0.0,Cloudy
2025062323,30.7,0.0,Clear
2025062400,31.5,0.0,Clear
2025062401,31.5,0.0,Cloudy
2025062402,31.0,0.0,Clear
2025062403,30.1,0.0,Clear
2025062404,29.5,0.0,Clear
2025062405,29.1,0.0,Clear
2025062406,29.0,0.0,Clear
2025062407,29.9,0.0,Clear
2025062408,31.5,0.0,Clear
2025062409,33.4,0.0,Clear
2025062410,35.2,0.0,Clear
2025062411,36.9,0.0,Clear
2025062412,38.4,0.0,Clear
2025062413,39.6,0.0,Clear
2025062414,40.4,0.0,Clear
2025062415,40.2,0.0,Clear
2025062416,39.7,0.0,Clear
2025062417,39.1,0.0,Clear
2025062418,38.8,0.0,Clear
2025062419,37.9,0.0,Clear
2025062420,37.2,0.0,Clear
2025062421,36.3,0.0,Clear
2025062422,35.4,0.0,Clear
2025062423,34.0,0.0,Clear
2025062500,32.5,0.0,Clear
2025062501,31.8,0.0,Clear
2025062502,31.1,0.0,Clear
2025062503,30.5,0.0,Clear
2025062504,29.8,0.0,Cloudy
2025062505,28.9,0.0,Clear
2025062506,28.4,0.0,Clear
2025062507,29.2,0.0,Clear
2025062508,30.6,0.0,Clear
2025062509,33.2,0.0,Clear
2025062510,34.5,0.0,Cloudy
2025062511,35.1,0.1,Rain
2025062512,36.5,0.0,Cloudy
2025062513,37.8,0.0,Cloudy
2025062514,38.2,0.0,Cloudy
2025062515,38.3,0.0,Cloudy
2025062516,38.4,0.0,Cloudy
2025062517,38.1,0.0,Clear
2025062518,37.0,0.1,Rain
2025062519,35.8,0.1,Rain
2025062520,35.2,0.0,Cloudy
2025062521,31.8,0.0,Cloudy
2025062522,31.3,0.0,Cloudy
2025062523,31.1,0.0,Cloudy
2025062600,30.6,0.0,Cloudy
2025062601,30.1,0.0,Cloudy
2025062602,29.5,0.0,Cloudy
2025062603,28.8,0.0,Clear
2025062604,27.9,0.0,Clear
2025062605,26.8,0.0,Clear
2025062606,26.0,0.0,Clear
2025062607,26.1,0.0,Clear
2025062608,26.6,0.0,Clear
2025062609,25.7,0.3,Rain
2025062610,24.8,0.0,Cloudy
2025062611,24.4,0.0,Cloudy
2025062612,24.0,0.0,Cloudy
2025062613,26.0,0.0,Cloudy
2025062614,27.0,0.0,Cloudy
2025062615,27.9,0.0,Cloudy
2025062616,28.0,0.0,Cloudy
2025062617,27.6,0.0,Cloudy
2025062618,26.5,0.0,Cloudy
2025062619,25.1,0.0,Clear
2025062620,24.0,0.0,Cloudy
2025062621,20.1,0.0,Cloudy
2025062622,20.2,0.0,Cloudy
2025062623,20.0,0.0,Cloudy
2025062700,19.6,0.0,Cloudy
2025062701,19.4,0.0,Cloudy
2025062702,19.4,0.0,Cloudy
2025062703,19.2,0.0,Cloudy
2025062704,19.0,0.0,Cloudy
2025062705,18.5,0.0,Clear
2025062706,18.5,0.0,Clear
2025062707,19.2,0.0,Cloudy
2025062708,20.2,0.0,Cloudy
2025062709,19.7,0.0,Cloudy
2025062710,20.2,0.0,Cloudy
2025062711,21.0,0.0,Cloudy
2025062712,21.8,0.0,Cloudy
2025062713,22.3,0.0,Cloudy
2025062714,23.0,0.0,Cloudy
2025062715,22.4,0.0,Cloudy
2025062716,22.2,0.0,Cloudy
2025062717,22.4,0.0,Cloudy
2025062718,21.9,0.0,Cloudy
2025062719,21.1,0.0,Cloudy
2025062720,20.2,0.0,Clear
2025062721,18.1,4.7,Rain
2025062722,18.0,2.7,Rain
2025062723,17.9,0.0,Cloudy
2025062800,18.1,0.0,Cloudy
2025062801,18.6,0.0,Cloudy
2025062802,19.0,0.0,Cloudy
2025062803,19.2,0.1,Rain
2025062804,19.4,0.0,Cloudy
2025062805,19.5,0.0,Cloudy
2025062806,19.5,0.3,Rain
2025062807,19.8,0.2,Rain
2025062808,20.9,0.1,Rain
2025062809,20.4,0.0,Cloudy
2025062810,22.1,0.0,Cloudy
2025062811,24.4,0.0,Cloudy
2025062812,25.9,0.0,Cloudy
2025062813,27.0,0.0,Cloudy
2025062814,28.5,0.0,Cloudy
2025062815,28.9,0.0,Cloudy
2025062816,30.0,0.0,Cloudy
2025062817,30.5,0.0,Cloudy
2025062818,30.4,0.0,Cloudy
2025062819,29.8,0.0,Clear
2025062820,29.0,0.0,Cloudy
2025062821,27.8,0.0,Cloudy
2025062822,27.3,0.0,Cloudy
2025062823,26.8,0.0,Cloudy
2025062900,26.1,0.0,Cloudy
2025062901,25.4,0.0,Cloudy
2025062902,24.6,0.0,Cloudy
2025062903,24.1,0.0,Cloudy
2025062904,23.6,0.0,Cloudy
2025062905,23.2,0.0,Cloudy
2025062906,23.2,0.0,Clear
2025062907,24.3,0.0,Clear
2025062908,25.8,0.0,Cloudy
2025062909,27.9,0.0,Cloudy
2025062910,28.8,0.0,Cloudy
2025062911,29.6,0.0,Cloudy
2025062912,30.4,0.0,Cloudy
2025062913,31.3,0.0,Cloudy
2025062914,31.5,0.0,Cloudy
2025062915,32.0,0.0,Cloudy
2025062916,32.8,0.0,Cloudy
2025062917,33.1,0.0,Cloudy
2025062918,32.6,0.0,Cloudy
2025062919,31.4,0.0,Cloudy
2025062920,30.0,0.0,Cloudy
2025062921,30.5,0.0,Clear
2025062922,29.5,0.0,Clear
2025062923,28.8,0.0,Clear
2025063000,27.6,0.0,Clear
2025063001,26.9,0.0,Clear
2025063002,25.5,0.0,Cloudy
2025063003,24.1,0.0,Clear
2025063004,23.4,0.0,Clear
2025063005,22.8,0.0,Cloudy
2025063006,22.7,0.0,Cloudy
2025063007,23.5,0.0,Cloudy
2025063008,25.1,0.0,Cloudy
2025063009,28.0,0.0,Cloudy
